year,winner,jockey,trainer,owner,distance,track_condition,time_string,time_sec,triple_crown_winner,Year_winner,Owner,Earnings,Earnings_2022
,,,,,,,,,,2004: Smarty Jones, Someday Farm,"$7,613,155 ","$11,574,894 "
,,,,,,,,,,2005: Giacomo, Mr. & Mrs. Jerome S. Moss,"$2,537,316 ","$3,752,513 "
,,,,,,,,,,2006: Barbaro, Lael Stables (Roy & Gretchen Jackson),"$2,302,200 ","$3,268,601 "
,,,,,,,,,,2007: Street Sense, James B. Tafel,"$4,383,200 ","$6,060,080 "
,,,,,,,,,,2008: Big Brown, IEAH Stable (Michael Iavarone) and Paul P. Pompa Jr.,"$3,614,500 ","$4,796,998 "
,,,,,,,,,,2009: Mine That Bird, Double Eagle Ranch & Bueno Suerte Equine,"$2,228,637 ","$2,996,138 "
,,,,,,,,,,2010: Super Saver, WinStar Farm LLC.,"$1,889,766 ","$2,490,239 "
,,,,,,,,,,2011: Animal Kingdom, Team Valor International,"$8,387,500 ","$10,671,788 "
,,,,,,,,,,2012: I’ll Have Another, J. Paul Reddam,"$2,693,600 ","$3,369,757 "
,,,,,,,,,,2013: Orb, Stuart Janney III & Phipps Stable (Ogden Mills “Dinny” Phipps),"$2,612,516 ","$3,224,404 "
,,,,,,,,,,2014: California Chrome, Steve and Carolyn Coburn & Perry and Denise Martin,"$14,752,650 ","$17,916,354 "
